Title,Session_Date__c,Start_Time__c,End_Time__c,Level__c
Apex Basics,2026-01-05,09:00:00,10:00:00,Beginner
Advanced LWC,2026-01-05,10:30:00,11:30:00,Advanced
Integration Patterns,2026-01-06,09:00:00,10:00:00,Intermediate
Salesforce Architecture Overview,2026-01-06,11:00:00,12:00:00,Beginner
LWC Lightning Components,2026-01-07,09:00:00,10:00:00,Intermediate
Apex Triggers Deep Dive,2026-01-07,10:15:00,11:15:00,Advanced
Integration Best Practices,2026-01-08,09:00:00,10:00:00,Beginner
Advanced Apex Patterns,2026-01-08,11:00:00,12:00:00,Advanced
LWC Dynamic Components,2026-01-09,09:00:00,10:00:00,Intermediate
Enterprise Architecture Fundamentals,2026-01-09,10:30:00,11:30:00,Beginner
Apex SOQL Optimization,2026-01-10,09:00:00,10:00:00,Intermediate
LWC Styling Best Practices,2026-01-10,10:30:00,11:30:00,Beginner
Integration Security,2026-01-11,09:00:00,10:00:00,Advanced
Apex Batch Processing,2026-01-11,10:30:00,11:30:00,Intermediate
LWC Events & Messaging,2026-01-12,09:00:00,10:00:00,Intermediate
Architecture Case Studies,2026-01-12,10:30:00,11:30:00,Advanced
Apex Custom Metadata,2026-01-13,09:00:00,10:00:00,Intermediate
Advanced LWC Patterns,2026-01-13,10:30:00,11:30:00,Advanced
Integration Middleware,2026-01-14,09:00:00,10:00:00,Intermediate
Apex Testing Strategies,2026-01-14,10:30:00,11:30:00,Beginner
LWC Lightning Data Service,2026-01-15,09:00:00,10:00:00,Intermediate
Architecture Review,2026-01-15,10:30:00,11:30:00,Advanced
Apex Dynamic SOQL,2026-01-16,09:00:00,10:00:00,Advanced
LWC Forms & Validation,2026-01-16,10:30:00,11:30:00,Beginner
Integration Error Handling,2026-01-17,09:00:00,10:00:00,Intermediate
Apex Asynchronous,2026-01-17,10:30:00,11:30:00,Advanced
LWC Composition Patterns,2026-01-18,09:00:00,10:00:00,Intermediate
Architecture Patterns,2026-01-18,10:30:00,11:30:00,Advanced
Apex Governor Limits,2026-01-19,09:00:00,10:00:00,Beginner
LWC Slot Booking,2026-01-19,10:30:00,11:30:00,Intermediate
Integration API Design,2026-01-20,09:00:00,10:00:00,Advanced
Apex Debugging,2026-01-20,10:30:00,11:30:00,Intermediate
LWC Navigation,2026-01-21,09:00:00,10:00:00,Beginner
Architecture Scaling,2026-01-21,10:30:00,11:30:00,Advanced
Apex Bulkification,2026-01-22,09:00:00,10:00:00,Intermediate
LWC Data Binding,2026-01-22,10:30:00,11:30:00,Beginner
Integration Logging,2026-01-23,09:00:00,10:00:00,Intermediate
Apex Platform Events,2026-01-23,10:30:00,11:30:00,Advanced
LWC Testing,2026-01-24,09:00:00,10:00:00,Beginner
Architecture Governance,2026-01-24,10:30:00,11:30:00,Advanced
Apex Triggers Optimization,2026-01-25,09:00:00,10:00:00,Intermediate
LWC Best Practices,2026-01-25,10:30:00,11:30:00,Advanced
Integration Monitoring,2026-01-26,09:00:00,10:00:00,Intermediate
Apex Security,2026-01-26,10:30:00,11:30:00,Advanced
LWC Performance,2026-01-27,09:00:00,10:00:00,Intermediate
Architecture Compliance,2026-01-27,10:30:00,11:30:00,Advanced
Apex Debug Logs,2026-01-28,09:00:00,10:00:00,Beginner
LWC Event Handling,2026-01-28,10:30:00,11:30:00,Intermediate
Integration Patterns Advanced,2026-01-29,09:00:00,10:00:00,Advanced
Apex Trigger Framework,2026-01-29,10:30:00,11:30:00,Advanced
LWC Dynamic Forms,2026-01-30,09:00:00,10:00:00,Intermediate
Architecture Review Session,2026-01-30,10:30:00,11:30:00,Advanced
